schedule,skip_target,freeze_from,fid,ssim,psnr,clip,n_evaluated
baseline,none,0,,0.9998898804187775,89.39846849376045,30.162021703720093,200
text_skip_late,text,15,,0.08407777175307274,7.365122153146444,14.891273517608642,200
image_skip_late,image,15,,0.17793066799640656,9.590976275606003,19.343360147476197,200
