schedule,skip_target,freeze_from,fid,ssim,psnr,clip,n_evaluated
baseline,none,0,,0.999843418598175,83.5487984114169,30.61914281845093,100
text_skip_late,text,15,,0.07977285981178284,7.254434313005087,14.661856322288513,100
image_skip_late,image,15,,0.18224260210990906,9.536252181816426,19.30990029335022,100
