schedule,skip_target,freeze_from,fid,ssim,psnr,clip,n_evaluated
baseline,none,0,,0.9999138116836548,92.90310658419236,30.137088031768798,200
text_skip_late,text,15,,0.8923788666725159,27.14466884290787,29.47399001121521,200
image_skip_late,image,15,,0.18190735578536987,12.462679317107032,23.290274147987365,200
