schedule,skip_target,freeze_from,fid,ssim,psnr,clip,n_evaluated
baseline,none,0,,0.9999363422393799,95.24813857610401,29.704900588989258,100
text_skip_late,text,15,,0.08838268369436264,7.475809993287803,15.120690712928772,100
image_skip_late,image,15,,0.17361873388290405,9.64570036939558,19.376820001602173,100
